point_id,x_raw,y_raw,z_raw
0,3570435:21.627,5363305:99.298,0:0.000
1,3570439:54.150,5363320:7.183,0:0.000
2,3570529:98.841,5363274:42.188,0:0.000
3,3570535:25.549,5363291:58.692,0:0.000
4,3570627:79.192,5363250:50.742,0:0.000
5,3570632:10.738,5363267:34.745,0:0.000
6,3570725:65.411,5363228:15.674,0:0.000
7,3570730:34.956,5363249:29.390,0:0.000
8,3570824:49.916,5363208:79.218,0:0.000
9,3570827:26.406,5363224:28.308,0:0.000
10,3570922:82.312,5363191:43.490,0:0.000
11,3570925:59.546,5363207:12.941,0:0.000
12,3571024:68.562,5363178:23.856,0:0.000
13,3571025:95.947,5363194:85.210,0:0.000
14,3571130:81.261,5363174:59.622,0:0.000
15,3571128:81.489,5363196:52.344,0:0.000
16,3571049:81.882,5363175:77.596,-0:0.000
17,3571051:2.761,5363193:44.023,-0:0.000
18,3571079:48.522,5363173:22.446,0:0.000
19,3571078:32.303,5363193:45.411,0:0.000
20,3571105:52.507,5363176:7.538,0:0.000
21,3571103:86.299,5363194:43.735,-0:0.000
22,3570998:96.136,5363180:31.820,-0:0.000
23,3571000:39.216,5363197:19.345,0:0.000
24,3570973:22.012,5363183:5.150,0:0.000
25,3570975:49.105,5363200:11.140,-0:0.000
26,3570948:45.382,5363186:96.107,0:0.000
27,3570951:5.919,5363203:34.804,0:0.000
28,3570898:13.078,5363195:66.299,0:0.000
29,3570900:90.853,5363211:13.010,0:0.000
30,3570875:33.470,5363199:99.665,-0:0.000
31,3570878:5.124,5363215:21.210,-0:0.000
32,3570846:48.528,5363204:88.183,0:0.000
33,3570849:23.003,5363220:35.979,0:0.000
34,3570482:29.013,5363289:15.591,0:0.000
35,3570487:34.928,5363305:64.194,0:0.000
36,3570580:66.264,5363263:56.567,0:0.000
37,3570583:50.217,5363278:73.113,0:0.000
38,3570676:87.494,5363239:3.695,0:0.000
39,3570681:15.164,5363257:99.080,0:0.000
40,3570774:99.357,5363217:89.696,0:0.000
41,3570777:93.277,5363232:79.462,0:0.000
42,3570458:77.044,5363297:67.627,0:0.000
43,3570463:43.068,5363312:81.561,0:0.000
44,3570506:31.704,5363282:30.209,0:0.000
45,3570511:32.845,5363298:71.882,0:0.000
46,3570555:4.899,5363266:71.867,0:0.000
47,3570559:33.116,5363285:10.000,0:0.000
48,3570603:34.541,5363257:13.287,0:0.000
49,3570607:73.185,5363272:84.929,0:0.000
50,3570652:40.557,5363244:61.848,0:0.000
51,3570656:56.029,5363262:40.055,0:0.000
52,3570701:22.601,5363233:65.229,0:0.000
53,3570705:75.480,5363253:65.922,0:0.000
54,3570750:26.719,5363222:74.765,0:0.000
55,3570754:4.260,5363240:83.888,0:0.000
56,3570799:95.145,5363213:30.494,0:0.000
57,3570802:69.056,5363228:67.210,0:0.000
58,3568607:28.724,5364100:15.059,0:0.000
59,3568618:51.685,5364114:61.586,0:0.000
60,3568587:66.688,5364115:76.697,0:0.000
61,3568598:84.546,5364129:97.155,0:0.000
62,3568568:4.960,5364131:38.123,0:0.000
63,3568579:29.408,5364145:48.161,0:0.000
64,3568548:48.627,5364147:9.619,0:0.000
65,3568559:86.320,5364161:12.262,0:0.000
66,3568529:2.785,5364162:77.277,0:0.000
67,3568540:49.327,5364176:84.744,0:0.000
68,3568509:53.131,5364178:47.999,0:0.000
69,3568521:8.194,5364192:65.989,0:0.000
70,3568490:6.110,5364194:16.601,0:0.000
71,3568501:70.190,5364208:45.051,0:0.000
72,3568470:60.762,5364209:83.848,0:0.000
73,3568482:30.938,5364224:24.536,0:0.000
74,3568451:8.447,5364225:45.726,0:0.000
75,3568462:94.273,5364239:99.021,0:0.000
76,3568431:69.658,5364241:26.831,0:0.000
77,3568443:54.520,5364255:80.912,0:0.000
78,3568412:22.552,5364256:95.857,0:0.000
79,3568424:17.170,5364271:60.491,0:0.000
80,3568392:79.276,5364272:66.007,0:0.000
81,3568404:77.631,5364287:39.367,0:0.000
82,3568373:34.489,5364288:37.385,0:0.000
83,3568385:39.925,5364303:16.407,0:0.000
84,3568353:89.429,5364304:8.980,0:0.000
85,3568366:0.951,5364318:96.340,0:0.000
86,3568334:45.045,5364319:80.029,0:0.000
87,3568346:62.307,5364334:75.057,0:0.000
88,3568314:99.631,5364335:51.913,0:0.000
89,3568327:24.399,5364350:53.550,0:0.000
90,3568295:56.301,5364351:22.108,0:0.000
91,3568307:86.781,5364366:33.356,0:0.000
92,3568276:15.958,5364367:0.599,0:0.000
93,3568288:48.407,5364382:12.397,0:0.000
94,3568256:77.847,5364382:78.257,0:0.000
95,3568269:9.611,5364397:91.501,0:0.000
96,3568237:38.396,5364398:57.007,0:0.000
97,3568249:71.131,5364413:69.544,0:0.000
98,3568217:98.201,5364414:36.362,0:0.000
99,3568230:31.800,5364429:50.094,0:0.000
100,3568198:61.446,5364430:12.916,0:0.000
101,3568210:94.411,5364445:28.035,0:0.000
102,3568179:22.769,5364445:91.035,0:0.000
103,3568191:55.087,5364461:5.879,0:0.000
104,3568159:83.114,5364461:69.950,0:0.000
105,3568172:16.651,5364476:83.755,0:0.000
106,3568140:42.077,5364477:49.990,0:0.000
107,3568152:75.591,5364492:65.149,0:0.000
108,3568121:5.081,5364493:26.741,0:0.000
109,3568133:40.400,5364508:41.654,0:0.000
110,3568101:67.551,5364509:6.098,0:0.000
111,3568114:2.534,5364524:21.376,0:0.000
112,3568082:30.639,5364524:85.255,0:0.000
113,3568094:63.896,5364540:0.658,0:0.000
114,3568062:88.582,5364540:68.605,0:0.000
115,3568075:22.013,5364555:81.561,0:0.000
116,3568043:54.819,5364556:45.194,0:0.000
117,3568055:87.562,5364571:58.226,0:0.000
118,3568024:17.916,5364572:24.342,0:0.000
119,3568036:48.325,5364587:36.785,0:0.000
120,3568004:79.636,5364588:4.613,0:0.000
121,3568017:9.711,5364603:14.618,0:0.000
122,3567985:37.094,5364603:88.358,0:0.000
123,3567997:66.923,5364618:97.391,0:0.000
124,3567792:35.121,5364762:83.705,0:0.000
125,3567803:80.858,5364776:90.442,0:0.000
126,3567772:92.297,5364778:83.384,0:0.000
127,3567784:29.504,5364792:79.709,0:0.000
128,3567753:69.877,5364794:49.968,0:0.000
129,3567764:97.130,5364808:44.339,0:0.000
130,3567734:33.407,5364810:11.842,0:0.000
131,3567745:33.563,5364824:12.656,0:0.000
132,3567714:78.692,5364825:57.067,0:0.000
133,3567725:51.275,5364839:55.349,0:0.000
134,3567694:92.208,5364840:53.550,0:0.000
135,3567705:42.014,5364854:67.409,0:0.000
136,3567674:73.886,5364855:0.069,0:0.000
137,3567684:98.314,5364869:37.008,0:0.000
138,3567546:24.583,5364928:91.193,0:0.000
139,3567553:63.348,5364944:90.202,0:0.000
140,3567523:57.308,5364938:99.144,0:0.000
141,3567530:58.174,5364955:17.607,0:0.000
142,3567500:84.096,5364948:35.045,0:0.000
143,3567507:9.845,5364964:86.651,0:0.000
144,3567477:62.229,5364957:4.602,0:0.000
145,3567483:50.729,5364973:71.904,0:0.000
146,3567454:16.371,5364965:6.048,-0:0.000
147,3567459:64.327,5364981:89.598,-0:0.000
148,3567430:45.810,5364972:40.922,0:0.000
149,3567435:56.070,5364989:38.786,0:0.000
150,3567406:78.774,5364979:2.902,0:0.000
151,3567411:9.478,5364996:25.311,0:0.000
152,3567382:72.164,5364984:92.570,0:0.000
153,3567386:62.317,5365002:26.812,0:0.000
154,3567358:46.589,5364990:12.676,0:0.000
155,3567361:96.365,5365007:58.026,0:0.000
156,3567334:7.519,5364994:63.953,0:0.000
157,3567337:16.760,5365012:19.459,0:0.000
158,3567309:80.152,5364998:43.174,0:0.000
159,3567312:7.933,5365016:13.759,0:0.000
160,3567285:18.437,5365001:46.440,0:0.000
161,3567287:5.392,5365019:24.105,0:0.000
162,3567260:52.000,5365003:79.407,0:0.000
163,3567261:96.481,5365021:63.561,0:0.000
